Jogo,Acao e aventura,Tiro,E-sport,RPG,Open world,Simulador,Estrategia,multi jogador online
Call of duty,40,100,50,0,0,20,0,70
Battlefield,30,100,50,0,0,60,10,100
Skyrim,70,20,0,100,100,0,0,0
FIFA,0,0,100,15,0,70,20,70
League of Legends,10,5,100,90,0,0,70,100
Counter Strike,0,100,100,0,0,40,20,100
Flight Simulator,20,0,0,0,90,100,0,0
Euro Truck simulator ,30,0,0,0,80,100,0,20
Age of Empires,10,0,40,50,60,40,100,40
Forza Horizon,20,0,20,30,70,85,0,50
The Witcher,70,0,0,100,100,10,20,0
Yakuza,100,0,0,30,40,0,20,10
Tomb Raider,100,50,0,25,30,0,10,5
Mortal Kombat,10,0,80,15,0,5,5,70
Read Dead Redemption,80,50,0,30,100,50,10,0
The Last of Us,100,50,0,30,10,0,10,5
Horizon Zero Dawn,100,40,0,70,100,0,10,0
Ghost of Tsushima,100,5,0,70,100,30,20,30
Dark Souls,60,0,0,100,40,0,30,20
Final Fantasy,60,0,0,100,80,0,60,10
Resident Evil,90,60,0,20,20,0,30,10
Assassins Creed,100,10,0,50,100,5,15,5
Minecraft,70,5,0,70,100,0,5,60
The Sims,10,0,0,60,40,100,30,0
Gears of War,80,80,40,10,0,0,20,60
Tony Hawk,20,0,60,5,80,100,10,50
Cyberpunk 2077,70,100,0,100,100,0,10,0
Hitman,40,30,0,10,10,40,80,5
Need for Speed,10,0,40,15,30,45,15,40
GTA,70,60,0,10,100,5,0,50
Mad Max,100,10,0,70,100,0,0,0
Shadow of the Colossus,100,0,0,50,60,0,40,0
Shadows of War,100,10,0,90,90,0,30,10
Roket League,10,0,100,5,0,0,10,100
Metal Gear,60,60,0,40,10,30,50,5
Valorant,0,100,100,0,0,0,30,100
Control,100,25,0,20,5,0,10,0
Death Stranding,30,30,0,50,100,0,10,5
Rainbow Six Siege,10,100,100,0,0,30,40,100
Dead by Daylight,10,0,80,10,0,0,40,100
